sid,stimfile,eye_used,trialid,n_fix_trial,sum_fix_dur_trial,dwell_time_trial,mean_fix_dur_trial,n_sacc_trial,sum_sacc_dur_trial,mean_sacc_dur_trial,mean_sacc_ampl_trial,ratio_progress_regress_trial,n_between_line_regress_trial,n_within_line_regress_trial,n_regress_trial,n_progress_trial,n_transit_trial,aoi,aoi_kind,content,dwell_time_aoi,n_fix_aoi,sum_fix_dur_aoi,mean_fix_dur_aoi,skipped_aoi,n_fix_first_visit_aoi,first_fix_dur_aoi,first_fix_land_pos_aoi,dwell_time_first_visit_aoi,sum_fix_dur_first_visit_aoi,sum_fix_dur_after_first_visit_aoi,dwell_time_rereading_aoi,n_revisits_aoi,task
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001,line,,18866.454000000027,35,35940.950000000186,1026.884285714291,0,35,108.06700000003912,0.12185369908561931,18866.454000000027,17970.475000000093,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_001,subline,Vůmice,936.0969999999506,1,1880.1939999999013,1880.1939999999013,0,1,940.0969999999506,0.4799248120300751,936.0969999999506,940.0969999999506,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_002,subline,lobu,699.872999999905,3,1391.7560000000522,463.91866666668403,0,1,108.06700000003912,0.20283582089552285,104.06299999996554,108.06700000003912,587.810999999987,595.8099999999395,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_003,subline,saná,680.0320000000065,2,1328.0700000000652,664.0350000000326,0,2,524.0130000000354,0.4070454545454547,680.0320000000065,664.0350000000326,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_004,subline,ladiv.,847.9119999998948,3,1663.8599999998696,554.6199999999566,0,2,399.908000000054,0.3267901234567905,575.8249999999534,555.8479999999981,276.08199999993667,272.0869999999413,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_005,subline,Šini,1155.7229999999981,3,2335.435999999987,778.4786666666623,0,1,220.0439999999944,0.2563114754098359,216.04299999994691,220.0439999999944,947.6739999999991,939.6800000000512,2,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_006,subline,se,335.7390000000596,1,679.4820000000764,679.4820000000764,0,1,339.7410000000382,0.27263888888889043,335.7390000000596,339.7410000000382,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_007,subline,zonaj,1568.3120000000345,4,3040.5840000000317,760.1460000000079,0,2,356.05300000007264,0.08734567901234624,876.1780000000726,844.1610000000801,676.1309999999357,692.1339999999618,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_008,subline,olítače,1195.8209999999963,3,2311.6460000001825,770.5486666667275,0,3,159.93000000005122,0.32884408602150517,1195.8209999999963,1155.8230000000913,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_009,subline,a,0.0,0,0.0,0.0,1,0,0.0,,0.0,0.0,0.0,0.0,0,T5_Pseudo_Text
