time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
351456469,181.75,153.03,154.69,132.08,3.89,3.92,s7_stimuli_t1.jpg,1263
351460466,181.34,154.22,154.87,132.23,3.89,3.92,s7_stimuli_t1.jpg,1263
351464463,179.35,156.40,154.44,131.36,3.89,3.91,s7_stimuli_t1.jpg,1263
351468459,180.05,158.55,153.90,133.87,3.89,3.91,s7_stimuli_t1.jpg,1263
351472456,179.33,160.79,152.99,134.77,3.88,3.91,s7_stimuli_t1.jpg,1263
351476453,180.89,162.95,154.02,135.76,3.88,3.91,s7_stimuli_t1.jpg,1263
351480449,182.37,162.72,154.78,134.69,3.87,3.91,s7_stimuli_t1.jpg,1263
351484446,183.28,164.12,155.38,135.60,3.86,3.91,s7_stimuli_t1.jpg,1263
351488442,184.92,166.01,154.37,135.72,3.86,3.91,s7_stimuli_t1.jpg,1263
351492439,183.00,167.32,152.99,137.39,3.85,3.91,s7_stimuli_t1.jpg,1263
351496436,183.28,166.75,150.99,137.91,3.85,3.90,s7_stimuli_t1.jpg,1263
351500432,185.55,165.89,150.45,138.94,3.85,3.90,s7_stimuli_t1.jpg,1263
351504429,185.79,163.39,148.47,140.73,3.86,3.89,s7_stimuli_t1.jpg,1263
351508425,186.89,164.63,148.11,143.42,3.86,3.88,s7_stimuli_t1.jpg,1263
351512422,185.80,160.03,150.14,144.08,3.86,3.87,s7_stimuli_t1.jpg,1263
351516419,185.32,157.92,151.05,146.40,3.87,3.87,s7_stimuli_t1.jpg,1263
351520416,184.27,154.26,152.35,148.02,3.87,3.86,s7_stimuli_t1.jpg,1263
351524412,183.04,153.10,153.11,150.61,3.88,3.85,s7_stimuli_t1.jpg,1263
351528409,180.90,148.14,154.11,151.11,3.88,3.84,s7_stimuli_t1.jpg,1263
351532406,179.33,144.55,156.06,151.99,3.88,3.84,s7_stimuli_t1.jpg,1263
351536403,177.37,144.50,158.72,152.61,3.89,3.83,s7_stimuli_t1.jpg,1263
351540400,175.72,141.93,158.45,154.55,3.89,3.83,s7_stimuli_t1.jpg,1263
351544397,173.64,138.43,159.72,155.51,3.89,3.82,s7_stimuli_t1.jpg,1263
351548393,172.04,134.46,162.22,155.82,3.89,3.81,s7_stimuli_t1.jpg,1263
351552390,171.22,134.63,163.52,156.58,3.89,3.81,s7_stimuli_t1.jpg,1263
351556387,171.79,133.03,163.78,158.18,3.88,3.81,s7_stimuli_t1.jpg,1263
351560384,170.24,131.89,163.94,158.37,3.88,3.80,s7_stimuli_t1.jpg,1263
351564381,169.30,130.67,164.30,159.88,3.88,3.80,s7_stimuli_t1.jpg,1263
351568377,167.95,131.17,165.41,160.82,3.88,3.80,s7_stimuli_t1.jpg,1263
351572374,167.31,132.17,167.38,163.21,3.87,3.80,s7_stimuli_t1.jpg,1263
351576371,167.25,133.81,168.16,163.33,3.86,3.80,s7_stimuli_t1.jpg,1263
351580368,168.50,137.08,170.15,163.32,3.86,3.81,s7_stimuli_t1.jpg,1263
351584365,169.32,140.42,171.76,162.94,3.86,3.80,s7_stimuli_t1.jpg,1263
351588361,170.52,144.48,172.13,161.88,3.85,3.81,s7_stimuli_t1.jpg,1263
351592358,173.83,149.04,171.86,160.44,3.85,3.81,s7_stimuli_t1.jpg,1263
351596361,175.25,150.68,171.60,160.04,3.83,3.82,s7_stimuli_t1.jpg,1263
351600364,176.90,152.71,169.43,157.62,3.82,3.82,s7_stimuli_t1.jpg,1263
351604367,183.08,154.48,164.95,157.18,3.81,3.83,s7_stimuli_t1.jpg,1263
351608370,187.31,156.59,163.54,156.16,3.80,3.83,s7_stimuli_t1.jpg,1263
351612373,187.94,158.44,162.25,154.96,3.79,3.84,s7_stimuli_t1.jpg,1263
351616376,188.82,158.93,160.69,153.72,3.79,3.84,s7_stimuli_t1.jpg,1263
351620379,189.70,159.74,154.76,153.09,3.79,3.84,s7_stimuli_t1.jpg,1263
351624382,189.26,160.67,153.88,152.79,3.79,3.84,s7_stimuli_t1.jpg,1263
351628385,187.15,160.14,151.38,151.26,3.80,3.84,s7_stimuli_t1.jpg,1263
351632387,185.19,159.45,151.50,149.91,3.81,3.84,s7_stimuli_t1.jpg,1263
