time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
955389457,162.76,150.27,173.77,190.65,4.72,4.43,s7_stimuli_t4.jpg,1913
955393456,160.52,148.47,171.39,190.93,4.73,4.43,s7_stimuli_t4.jpg,1913
955397454,161.38,145.49,168.75,189.15,4.72,4.44,s7_stimuli_t4.jpg,1913
955401453,160.23,142.45,166.39,187.84,4.72,4.44,s7_stimuli_t4.jpg,1913
955405451,159.77,142.93,168.78,185.92,4.72,4.44,s7_stimuli_t4.jpg,1913
955409450,158.97,141.43,163.78,184.44,4.73,4.44,s7_stimuli_t4.jpg,1913
955413448,157.22,139.94,163.11,181.58,4.73,4.44,s7_stimuli_t4.jpg,1913
955417447,156.71,138.98,161.78,179.45,4.73,4.45,s7_stimuli_t4.jpg,1913
955421446,156.97,138.65,160.35,177.81,4.74,4.46,s7_stimuli_t4.jpg,1913
955425444,156.96,138.95,160.97,175.8,4.74,4.45,s7_stimuli_t4.jpg,1913
955429443,157.54,139.3,160.44,176.59,4.74,4.45,s7_stimuli_t4.jpg,1913
955433441,158.65,140.38,161.12,176.36,4.74,4.45,s7_stimuli_t4.jpg,1913
955437440,158.87,142.09,160.45,175.09,4.74,4.45,s7_stimuli_t4.jpg,1913
955441438,157.34,141.95,161.43,174.44,4.74,4.46,s7_stimuli_t4.jpg,1913
955445437,156.39,143.97,161.22,173.9,4.74,4.46,s7_stimuli_t4.jpg,1913
955449435,156.36,142.5,160.58,173.74,4.75,4.46,s7_stimuli_t4.jpg,1913
955453434,156.57,141.6,161.45,173.54,4.75,4.47,s7_stimuli_t4.jpg,1913
955457432,157.59,141.1,161.33,174.61,4.75,4.47,s7_stimuli_t4.jpg,1913
955461431,157.66,142.51,161.49,175.05,4.76,4.48,s7_stimuli_t4.jpg,1913
955465429,156.96,142.51,160.88,176.33,4.76,4.48,s7_stimuli_t4.jpg,1913
955469428,157.09,143.57,160.74,175.55,4.76,4.48,s7_stimuli_t4.jpg,1913
955473426,156.13,143.35,160.61,174.5,4.77,4.48,s7_stimuli_t4.jpg,1913
955477425,155.26,143.19,158.9,173.7,4.77,4.48,s7_stimuli_t4.jpg,1913
955481424,155.42,143.59,160.37,174.29,4.77,4.49,s7_stimuli_t4.jpg,1913
955485422,157.24,144.77,160.18,174.32,4.77,4.49,s7_stimuli_t4.jpg,1913
955489421,157.97,145.95,160.08,174.49,4.77,4.5,s7_stimuli_t4.jpg,1913
955493419,158.02,147.55,159.62,174.23,4.76,4.5,s7_stimuli_t4.jpg,1913
955497418,157.13,149.71,159.35,173.76,4.76,4.51,s7_stimuli_t4.jpg,1913
955501416,156.07,150.58,159.38,173.31,4.76,4.51,s7_stimuli_t4.jpg,1913
955505415,154.85,150.48,157.89,172.58,4.77,4.51,s7_stimuli_t4.jpg,1913
955509415,155.48,150.95,158.32,171.5,4.77,4.51,s7_stimuli_t4.jpg,1913
955513415,153.84,150.25,158.23,171.4,4.77,4.51,s7_stimuli_t4.jpg,1913
955517415,153.42,149.97,157.38,170.78,4.78,4.52,s7_stimuli_t4.jpg,1913
955521415,152.46,148.94,157.52,170.39,4.78,4.52,s7_stimuli_t4.jpg,1913
955525415,150.82,148.29,156.57,170.3,4.78,4.52,s7_stimuli_t4.jpg,1913
